Date;Open;High;Low;Close;Volume;Market_Cap
2025-03-07;90001.40087607042;90001.40087607042;90001.40087607042;90001.40087607042;47555759124.64708;1782785866811.654
2025-03-08;86773.33597555371;86773.33597555371;86773.33597555371;86773.33597555371;63216440874.73251;1720436931689.2776
2025-03-09;86142.9833586432;86142.9833586432;86142.9833586432;86142.9833586432;18809360803.37126;1708605516770.228
2025-03-10;80751.13893300897;80751.13893300897;80751.13893300897;80751.13893300897;32013406240.51754;1602073794580.0344
2025-03-11;78783.94057934263;78783.94057934263;78783.94057934263;78783.94057934263;49983692766.22745;1563547150147.7332
2025-03-12;82799.1080292053;82799.1080292053;82799.1080292053;82799.1080292053;56404462275.083046;1642997419531.6057
2025-03-13;83884.24578828987;83884.24578828987;83884.24578828987;83884.24578828987;41782186208.59073;1662502658717.542
2025-03-14;81098.90052436228;81098.90052436228;81098.90052436228;81098.90052436228;32583592654.882656;1608477373718.186
2025-03-15;83971.70916064628;83971.70916064628;83971.70916064628;83971.70916064628;28571483950.074646;1665725559905.8198
2025-03-16;84391.69087647168;84391.69087647168;84391.69087647168;84391.69087647168;10761796127.312485;1674173293916.4658
2025-03-17;82610.61750343916;82610.61750343916;82610.61750343916;82610.61750343916;21638031633.118767;1638672153483.722
2025-03-18;84075.36559694471;84075.36559694471;84075.36559694471;84075.36559694471;19659366246.596867;1667799227887.438
2025-03-19;82780.03048688271;82780.03048688271;82780.03048688271;82780.03048688271;24557570268.85276;1642578274105.806
2025-03-20;86815.44109470697;86815.44109470697;86815.44109470697;86815.44109470697;33871216993.304657;1721565138141.278
2025-03-21;84270.84358966233;84270.84358966233;84270.84358966233;84270.84358966233;27579127651.06656;1672550706502.8184
2025-03-22;84009.532917822;84009.532917822;84009.532917822;84009.532917822;18091004975.919056;1666749159154.2927
2025-03-23;83793.30854192551;83793.30854192551;83793.30854192551;83793.30854192551;7771134681.982918;1662574363663.653
2025-03-24;85787.70914901773;85787.70914901773;85787.70914901773;85787.70914901773;12617587530.619724;1702009594329.4495
2025-03-25;87327.72969669085;87327.72969669085;87327.72969669085;87327.72969669085;27270889835.1835;1732715331970.134
2025-03-26;87520.58391530563;87520.58391530563;87520.58391530563;87520.58391530563;30351832942.705593;1735368473904.4885
2025-03-27;86960.8555491039;86960.8555491039;86960.8555491039;86960.8555491039;25522877558.700558;1724854479045.6724
2025-03-28;87227.27158032371;87227.27158032371;87227.27158032371;87227.27158032371;24620445368.489468;1729729987159.4822
2025-03-29;84359.46915506005;84359.46915506005;84359.46915506005;84359.46915506005;31674486232.097313;1673182800974.1038
2025-03-30;82679.17255385047;82679.17255385047;82679.17255385047;82679.17255385047;16837439419.924389;1640665503855.1438
2025-03-31;82356.38111183756;82356.38111183756;82356.38111183756;82356.38111183756;13428975108.070734;1633996304187.2593
2025-04-01;82514.09365397849;82514.09365397849;82514.09365397849;82514.09365397849;30326148749.91535;1635076581047.3545
2025-04-02;85237.5876052852;85237.5876052852;85237.5876052852;85237.5876052852;29172899851.734768;1690602036035.04
2025-04-03;82526.4221526433;82526.4221526433;82526.4221526433;82526.4221526433;46332905657.77597;1637358764747.381
2025-04-04;83163.98757387721;83163.98757387721;83163.98757387721;83163.98757387721;36594464539.14662;1652537223074.958
2025-04-05;83852.00765399594;83852.00765399594;83852.00765399594;83852.00765399594;35647289400.47406;1664234880198.049
2025-04-06;83595.88550177493;83595.88550177493;83595.88550177493;83595.88550177493;14910400035.531416;1656020067997.187
2025-04-07;78211.48358199988;78211.48358199988;78211.48358199988;78211.48358199988;36140377231.68329;1555325260787.2627
2025-04-08;79179.29226757778;79179.29226757778;79179.29226757778;79179.29226757778;82909748172.59216;1581407565278.352
2025-04-09;76329.090356324;76329.090356324;76329.090356324;76329.090356324;47812787635.22632;1515042499757.3254
2025-04-10;82622.17029546302;82622.17029546302;82622.17029546302;82622.17029546302;87408220482.11568;1640567909122.172
2025-04-11;79596.35732250768;79596.35732250768;79596.35732250768;79596.35732250768;41213520154.25157;1580023209138.0547
2025-04-12;83439.28818043756;83439.28818043756;83439.28818043756;83439.28818043756;39813566443.76779;1655868880454.1702
2025-04-13;85305.09728392666;85305.09728392666;85305.09728392666;85305.09728392666;22428929482.069122;1693600655371.0874
2025-04-14;83600.82010054543;83600.82010054543;83600.82010054543;83600.82010054543;28731125717.934357;1658923208081.8682
2025-04-15;84523.4524914945;84523.4524914945;84523.4524914945;84523.4524914945;33155578229.343513;1677843510120.269
2025-04-16;83656.49248858042;83656.49248858042;83656.49248858042;83656.49248858042;25084671427.622566;1660749023283.0562
